X,Y,OBJECTID,FEATURE_ID,CODE,NAME,ADDRESS,NEIGH_NUM,XCOORD,YCOORD,LONGITUDE,LATITUDE
-122.355548448286186,47.723233265127988,1,90001,90,Bitter Lake Neighborhood,N 130th St & Greenwood Ave N,3,1265775.87486036,267518.40603327,-122.35554967,47.72323154
-122.323274486222786,47.708595175138633,2,90002,90,Northgate Neighborhood,NE Northgate Way & 5th Ave NE,28,1273614.62493086,262024.46885843,-122.32327578,47.70859338
-122.295226300965695,47.719279510063139,3,90003,90,Lake City Neighborhood,NE 125th & Lake City Way NE,21,1280592.87508194,265788.62504401,-122.29522754,47.71927766
-122.229208576835731,47.727481959857819,4,90004,90,Finn Hill Neighborhood,NE 141st St & 84th Ave NE,13,1296894.62495869,268478.40608176,-122.22920977,47.72747998
-122.290271766903459,47.675785360123299,5,90005,90,Wedgewood Neighborhood,NE 65th St & 35th Ave NE,39,1281511.87488435,249903.14106702,-122.2902732,47.67578349
-122.313131285457487,47.661269442912598,6,90006,90,University District,NE 45th St & University Way NE,37,1275779.49986619,244716.65603318,-122.31313279,47.66126761
-122.325844530548054,47.679492228440694,7,90007,90,Green Lake Neighborhood,NE Ravenna Blvd & Green Lake Dr N,16,1272776.12496744,251422.95298801,-122.32584595,47.67949043
-122.35530032002309,47.69059510264357,8,90008,90,Greenwood Neighborhood,N 85th & Greenwood Ave N,17,1265601.49988103,255614.21888369,-122.35530169,47.69059336
-122.39005504510844,47.701542917578493,9,90009,90,North Beach Neighborhood,NW 100th  St & Triton Dr NW,26,1257124.37510303,259777.99992619,-122.39005637,47.70154125
-122.376804368747145,47.690609052553931,10,90010,90,Crown Hill Neighborhood,NW 85th St & 15th Ave NW,10,1260306.49997236,255724.78099852,-122.37680574,47.69060735
-122.386368209757208,47.668680574571013,11,90011,90,Ballard Neighborhood,NW Market & Ballard Ave NW,1,1257790.12508386,247775.03115002,-122.38636968,47.66867888
-122.349747916721498,47.649589509200197,12,90012,90,Fremont Neighborhood,N 34th St & Fremont Ave N,14,1266674.0000326,240632.68815127,-122.34974947,47.64958774
-122.333718316061734,47.661387419943154,13,90013,90,Wallingford Neighborhood,N 45th St & Meridian Ave N,38,1270708.12483835,244857.90607877,-122.33371982,47.66138563
-122.356708561325917,47.624583718267573,14,90014,90,Queen Anne Neighborhood,W Mercer St & Queen Anne Ave N,29,1264778.12488736,231547.10888151,-122.35671023,47.62458195
-122.320797150603426,47.615235482526472,15,90015,90,Capitol Hill Neighborhood,E. Pine & Broadway Ave,5,1273566.25002761,227964.61014102,-122.32079886,47.61523365
-122.302548436449072,47.619170890287016,16,90016,90,Central District,E Madison St & 23rd Ave E,7,1278093.75015894,229313.39090801,-122.30255012,47.61916903
-122.337791490375778,47.609748655038665,17,90017,90,Central Business District,Pike St & 3rd Ave,6,1269336.37495719,226045.0631271,-122.33779322,47.60974685
-122.349594486930982,47.571482578046997,18,90018,90,Harbor Island Neighborhood,SW Spokane St & 1th Ave SW,18,1266150.50009535,212146.78088435,-122.34959639,47.57148077
-122.386777102999261,47.561107256735795,19,90019,90,West Seattle Neighborhood,SW Alaska St & California Ave SW,40,1256897.37490086,208546.04694409,-122.38677905,47.5611055
-122.304644315161795,47.559558919092673,20,90020,90,Beacon Hill Neighborhood,S Columbian Way & Beacon Ave S,2,1277161.25005545,207582.87498593,-122.30464627,47.55955705
-122.292998610552985,47.58362374108151,21,90021,90,Mount Baker Neighborhood,S Walker St & 31st Ave S,24,1280202.6248782,216304.54684701,-122.29300046,47.58362186
-122.263668426325168,47.682128239438669,22,90022,90,Sand Point Neighborhood,Sand Point Way NE & NE 74th St,46,1288107.62711278,252093.47001968,-122.26366983,47.68212632
-122.265799881581543,47.551215580262152,23,90023,90,Seward Park Neighborhood,S Orcas St & Wilson Ave S,33,1286693.87501903,204359.10912376,-122.26580187,47.55121365
-122.223131110458723,47.499519835509552,24,90024,90,Bryn Mawr Neighborhood,S 115th Pl & 87th Ave S,4,1296888.49997094,185312.18790011,-122.22313332,47.49951782
-122.238306756641435,47.489935774133855,25,90025,90,Skyway Neighborhood,Renton Ave S & 76th Ave S,34,1293074.00005403,181884.95295669,-122.23830903,47.4899338
-122.322913149201739,47.526467531643334,26,90026,90,South Park Neighborhood,S Cloverdale St & 8th Ave S,35,1272417.75002803,195601.32808293,-122.32291525,47.52646567
-122.354018046877442,47.517353685490363,27,90027,90,White Center Neighborhood,SW Roxbury St & 15th Ave SW,41,1264668.62510636,192427.85903619,-122.35402019,47.51735186
